127.0.0.1 - - [13/Jul/2023:16:28:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:20 +0530] "GET /SalesPipelineManagementSystem/index.jsp HTTP/1.1" 200 3836
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:21 +0530] "GET /SalesPipelineManagementSystem/CSS/indexpagestyle.css HTTP/1.1" 200 2070
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:21 +0530] "GET /SalesPipelineManagementSystem/images/company-logo.png HTTP/1.1" 200 8905
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:21 +0530] "GET /SalesPipelineManagementSystem/images/analytics.gif HTTP/1.1" 200 555722
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:22 +0530] "GET /SalesPipelineManagementSystem/images/420eaf34ce5e6aae43d607d61086c740.jpg HTTP/1.1" 200 464631
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:22 +0530] "GET /SalesPipelineManagementSystem/images/image-sales.jpg HTTP/1.1" 200 242271
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:32 +0530] "GET /SalesPipelineManagementSystem/login.jsp HTTP/1.1" 200 5582
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:32 +0530] "GET /SalesPipelineManagementSystem/CSS/loginpage.css HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:32 +0530] "GET /SalesPipelineManagementSystem/images/undraw_data_reports_706v-removebg-preview.png HTTP/1.1" 200 31333
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:32 +0530] "GET /SalesPipelineManagementSystem/vendor/jquery/jquery.min.js HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:32 +0530] "GET /SalesPipelineManagementSystem/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:32 +0530] "GET /SalesPipelineManagementSystem/images/google.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:32 +0530] "GET /SalesPipelineManagementSystem/alert/dist/sweetalert.css HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:36 +0530] "GET /SalesPipelineManagementSystem/registration.jsp HTTP/1.1" 200 6346
0:0:0:0:0:0:0:1 - - [13/Jul/2023:16:28:36 +0530] "GET /SalesPipelineManagementSystem/images/google.png HTTP/1.1" 404 806
